date,module,Content,Delivery,Structure,Language skills,Creativity,Communication,Vocabulary,Grammar
2025-03-21,Daily Practice,2,5,6,2,1,0,0,0
2025-03-22,Daily Practice,0,0,0,0,0,0,0,0
2025-03-22,Daily Practice,8,8,8,8,7,8,7,7
2025-03-22,Presentation,0,0,0,0,0,0,0,0
2025-03-22,Presentation,5,6,4,6,3,6,5,6
2025-03-22,Conflict Resolution,0,0,0,0,0,0,0,0
2025-03-22,Storytelling,0,0,0,0,0,0,0,0
2025-03-22,Storytelling,0,0,0,0,0,0,0,0
2025-03-22,Storytelling,2,4,2,5,1,3,2,4
2025-03-22,Storytelling,8,9,8,8,7,9,8,8
2025-03-23,Daily Practice,6,6,6,6,0,7,6,6
2025-03-23,Daily Practice,5,6,5,7,4,7,6,6
2025-03-23,Daily Practice,8,9,8,9,7,9,8,9
2025-03-23,Daily Practice,6,7,7,7,5,7,6,7
2025-03-23,Daily Practice,8,9,8,9,7,8,8,8
2025-03-23,Daily Practice,5,7,7,7,6,7,6,6
2025-03-23,Presentation,0,0,0,0,0,2,0,0
2025-03-23,Storytelling,0,0,0,0,0,0,0,0
2025-03-24,Daily Practice,7,7,7,8,6,8,7,8
2025-03-24,Daily Practice,7,8,9,8,7,8,8,8
2025-03-24,Presentation,2,4,3,4,1,3,3,3
2025-03-24,Daily Practice,6,7,7,7,5,7,6,7
2025-03-24,Impromptu Speaking,3,4,3,2,1,3,2,3
2025-03-24,Presentation,2,4,2,3,1,3,2,2
2025-03-24,Presentation,0,0,0,0,0,0,0,0
2025-03-24,Daily Practice,8,8,8,8,7,8,7,8
2025-03-24,Storytelling,3,4,3,2,2,3,2,2
2025-03-24,Presentation,0,0,0,0,0,0,0,0
2025-03-24,Impromptu Speaking,3,4,2,4,1,3,4,3
2025-03-24,Conflict Resolution,1,5,1,4,1,4,3,3
2025-03-24,Conflict Resolution,2,2,2,2,1,2,1,2
